entry_id;calculation_id;spacegroup
10359;6598;Pm-3m
10936;6600;Fm-3m
5822;6601;R3m
18457;6604;Fm-3m
18458;6605;Fm-3m
23862;6606;Pm-3m
11024;6607;Pm-3m
11301;6608;Fm-3m
8484;6609;Pm-3m
21329;6625;F-43m
30413;6628;Fm-3m
30414;6629;Fm-3m
9319;6633;P63/mmc
1949;6640;Fm-3m
10280;6643;Fm-3m
21336;6644;F-43m
8272;6645;Fm-3m
30156;6646;Pm-3m
7771;6647;Fm-3m
18818;6648;Pm-3m
19332;6649;Pm-3m
19333;6650;Pm-3m
18054;6651;Pm-3m
21386;6652;Fm-3m
11128;6653;Pm-3m
5783;6654;Fm-3m
22367;6659;F-43m
12376;6660;F-43m
10361;6661;Pm-3m
18313;6662;Pm-3m
18829;6663;Pm-3m
19341;6664;Pm-3m
29686;6665;Pm-3m
21407;6667;Pm-3m
18088;6668;Pm-3m
21306;6673;Pm-3m
21335;6675;F-43m
8278;6677;Fm-3m
10879;6678;Pm-3m
17583;6679;Pm-3m
5793;6691;Fmmm
2466;6692;F-43m
8431;6694;Fm-3m
18454;6695;I4/mmm
30415;6700;Fm-3m
8485;6705;Fm-3m
10315;6706;Fm-3m
20574;6707;Pm-3m
10081;6709;Fm-3m
10609;6710;Pm-3m
18057;6711;Pm-3m
19339;6712;P-6m2
11590;6722;Fm-3m
8285;6725;Fm-3m
30423;6726;Fm-3m
10362;6727;P4/mmm
16942;6743;P4/mmm
20278;6744;P4/mmm
30151;6745;Pm-3m
8535;6747;P63/mmc
3678;6748;Fm-3m
7553;6750;F-43m
18100;6753;P4/mmm
28120;6775;Pm-3m
8090;6780;Pm-3m
9275;6786;I4/mmm
14069;6787;Fm-3m
8260;6788;Fm-3m
11602;6789;Pm-3m
18072;6790;P4/mmm
10900;6799;Pm-3m
22454;6800;Fm-3m
18717;6808;P-6m2
11153;6809;Pm-3m
31237;6810;P-6m2
11137;6837;Pm-3m
8149;6843;Fm-3m
21328;6846;F-43m
10320;6848;Fm-3m
8293;6850;Fm-3m
7552;6853;F-43m
