entry_id;calculation_id;name
11368;12290;YCuO2
17054;12296;Li2CdPb
17055;12297;Li2CdPb
22944;122977;Li2Be2H4NF7
17060;12298;Na2CdPb
18364;12300;LuGa3
22949;123000;Ni7Te6Cl2O18
22956;123032;Ba11Cd8Bi14
22962;123059;K3NdAs2S8
22971;123096;CaSiO3
22976;123118;TmAl3B4O12
22980;123136;Ba3Co10O17
22988;123173;FeH10S2N4O8
6054;123183;Na2UF6
10734;12323;HfInAu2
5699;12324;LiRhO2
18042;12326;PuRh3
16771;12327;NdNiO2
22452;12330;Na3As
18098;12331;URu3
23022;123325;CaReH4ClO6
23034;123379;Pr2B2MoO9
23048;123436;Na3Sc2B3O9
23054;123465;NaLiTi3O7
23074;123554;Ba3CaIr2O9
30930;12366;UPb
21576;12368;NiHO2
30921;12369;TaPbSe2
17264;12370;NdGa3
5218;12371;NbAs
28390;12372;FeB
17560;12373;LaMg3
23136;123820;Li2U3V2O15
23155;123900;Fe5Te6Cl2O18
23156;123908;Li3Nd3W2O12
23167;123954;CaCo2O4
22045;12400;BaO
4658;12401;BiF3
22372;12403;Mn3Al
23188;124045;SrMoO4
13671;12405;MnSbPd2
10347;12406;Cd2AgAu
23194;124073;NaTh2F9
23197;124088;SnSO4
22428;12411;Tc3N
10650;12412;Li2AgPb
10658;12413;MgZnAg2
20403;12414;MoPt3
8105;12416;Sb3Au
23228;124205;BaRuO3
23232;124218;Ca2MnSbO6
23233;124224;Ca2TaMnO6
23245;124281;LiBH5N
23257;124330;Na5Al3H14
23272;124397;MnPbO3
23273;124401;Ba3NaIr2O9
17720;12442;TaN
28628;12443;BW
8039;12445;TlAgTe2
12668;12447;CuO
19859;12448;HoSi
23294;124485;TbCo3B2
27645;12450;TiAg
14241;12451;SrSi
17588;12452;LiMg2Tl
23304;124525;NdCo2
25372;12453;NaAuC2
18875;12454;Nb3Si
19391;12455;BRh
6316;12456;CsIO3
5554;12457;NaTaO3
23323;124594;LiZn2B5H20
23335;124644;Li7La3Zr2O12
19460;12481;FeCu2Sn
23375;124814;U6Fe16Si7
23376;124818;U6Fe16Si7C
17531;12485;VIr
24544;12486;RbCuC2
5763;12490;CuBr
20637;12491;CuSe
23397;124916;SrCu2B2O6
30719;12492;NdMg3
23399;124920;LaCoO3
17829;12493;TaNi3
23725;12494;BaAlGeH
7828;12495;CuTe
21688;12498;AgSbTe2
23415;124985;NaNbO3
23416;124989;NaNbO3
18358;12499;LiGa2Pd
23417;124993;NaNbO3
10996;124996;CaNi2
4772;12500;NaTlO2
23419;125002;MnBiO3
18367;12501;NpGa3
13749;12502;TiSb
23424;125023;La2PC
20436;12505;CsPbI3
23444;125097;K5Li2PrF10
19462;12514;Cu2NiSn
23455;125144;K3TaF8
21291;12515;TiPd
3872;12516;TlCdS2
23461;125166;PCNO2F2
26833;12518;NaVO2
23467;125189;SiH12C4
10083;12520;FeTe
30684;12521;LiTiS2
28171;12523;HfAu
23478;125238;KBH5N
23485;125267;Rb2Mo2O7
10664;12527;AgPt3
23486;125271;LiVI2O8
18354;125276;HoMnGa
23493;125303;CaH2C2O4
23512;125388;LaPb6ClO7
23534;125485;LaIn4Au2
23536;125498;PrIn4Au2
23537;125503;NdIn4Au2
16596;12551;CuO2
21057;12553;AlCuSe2
22378;12556;Re3N
23552;125566;Eu3As2S8
18794;12557;Ce3Pb
21106;12558;TiNi
17534;12559;IrW
23560;125600;CuSb2Xe4F20
20632;12562;VSe
7817;12564;FeNiPt2
17595;12566;LiPd2Pb
8367;12567;KNa2Sb
20169;12568;ScBiO3
8398;12569;HoBRh3
