material_id;band_gap
mp-1416220;0.3865
mp-1416501;1.8915
mp-1417290;0
mp-1417347;0
mp-1417397;1.201
mp-1418009;0
mp-1418275;5.1942
mp-1419355;0
mp-1419423;5.6199
mp-1419904;0
mp-1420131;1.0244
mp-1420488;0
mp-1420609;0.4612
mp-1420624;0
mp-1421122;0
mp-1422184;5.0856
mp-1422530;0
mp-1423010;0
mp-1423214;0
mp-1423276;0
mp-1423394;0
mp-1423455;0
mp-1423501;0
mp-1423504;0.9359
mp-1423949;1.4379
mp-1423999;1.0908
mp-1424093;0
mp-1424480;0
mp-1424503;3.3579
mp-1424781;0
mp-1424809;2.8517
mp-1424813;4.298
mp-1425159;0
mp-1425463;0
mp-1425688;0
mp-1425788;0
mp-1426124;5.2837
mp-1426323;0
mp-1426587;0.662
mp-1426726;0
mp-1426778;0
mp-1427148;6.3663
mp-1427159;0
mp-1427770;0
mp-1428520;2.2221
mp-1429242;0
mp-1429770;2.6232
mp-1430061;6.2562
mp-1430311;0
mp-1431396;0
mp-1431723;0
mp-1432078;0
mp-1432218;0
mp-1432625;3.1043
mp-1433310;0
mp-1434395;0
mp-1434695;4.7914
mp-1434771;1.1573
mp-1434885;0
mp-1435116;0
mp-1435213;4.4619
mp-1435813;0
mp-1436117;2.4933
mp-1436276;0
mp-1437009;0
mp-1437302;3.3108
mp-1437574;0
mp-1437618;0
mp-1437698;1.6986
mp-1437701;0
mp-1437838;0
mp-1437929;0
mp-1438086;0
mp-1438131;0
mp-1438502;0
mp-1438579;0
mp-1438602;1.9548
mp-1438908;0
mp-1438909;0
mp-1439037;0
mp-1439159;0
mp-1439221;0
mp-1439300;0
mp-1439568;0
mp-1439600;0
mp-1439644;0.3188
mp-1439661;0
mp-1439681;0
mp-1439862;0.5528
mp-1439888;0
mp-1440081;0.8009
mp-1440348;1.6185
mp-1440498;0
mp-1440579;0
mp-1440601;0.0191
mp-1440661;0
mp-1440844;0
mp-1441142;0
mp-1441246;0
mp-1441265;0
mp-1441500;0
mp-1441994;0
mp-1442231;0
mp-1442345;0
mp-1442657;5.5457
mp-1443089;0.5715
mp-1458;0.0693
mp-1504074;3.4733
mp-1504180;3.463
mp-1514554;5.2629
mp-1523487;0
mp-1523708;0
mp-1523871;0
mp-1524096;0
mp-1524249;0.8851
mp-1524286;0
mp-1524450;0
mp-1524505;0
mp-1524911;1.0379
mp-1525371;1.2616
mp-1525584;0
mp-1525605;0
mp-1525606;4.9925
mp-1536189;0.976
mp-1536366;0
mp-1536506;1.6708
mp-1536520;0.4701
mp-1536828;0
mp-1536987;1.6501
mp-1537105;0
mp-1537406;0
mp-1537516;0
mp-1537649;0
mp-1537755;0
mp-1537785;0
mp-1537849;7.9756
mp-1537925;0.2295
